LocationIdentifier,PhaseNumber,BinStartTime,PedCycles,PedDelaySum,MinPedDelay,MaxPedDelay,PedRequests,ImputedPedCallsRegistered,UniquePedDetections,PedBeginWalkCount,PedCallsRegisteredCount
7115,2,5/16/23 0:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/17/23 0:15:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/18/23 0:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/19/23 0:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/20/23 1:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 1:15:00.0,1,0,0,0,1,1,1,1,1
7115,2,5/21/23 1:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/22/23 1:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 2:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/17/23 2:15:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/18/23 2:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/19/23 2:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/20/23 3:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/17/23 3:15:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/18/23 3:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/19/23 3:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/20/23 4:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 4:15:00.0,1,0,0,0,1,1,1,1,1
7115,2,5/18/23 4:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/19/23 4:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/20/23 5:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 5:15:00.0,1,3,3,3,1,1,1,1,1
7115,2,5/18/23 5:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/19/23 5:45:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/20/23 6:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 6:15:00.0,1,33.9,33.9,33.9,1,1,1,1,1
7115,2,5/16/23 6:30:00.0,1,2.7,2.7,2.7,1,1,1,8,1
7115,2,5/16/23 6:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 7:00:00.0,1,39.6,39.6,39.6,1,1,1,8,1
7115,2,5/16/23 7:15:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 7:30:00.0,0,0,0,0,0,0,0,8,0
7115,2,5/16/23 7:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 8:00:00.0,0,0,0,0,0,0,0,8,0
7115,2,5/16/23 8:15:00.0,0,0,0,0,0,1,0,7,0
7115,2,5/16/23 8:30:00.0,3,75.9,31.4,44.5,4,2,4,8,3
7115,2,5/16/23 8:45:00.0,1,8.8,8.8,8.8,1,1,1,7,1
7115,2,5/16/23 9:00:00.0,4,170.1,7.4,115.2,7,4,6,8,5
7115,2,5/16/23 9:15:00.0,1,18.2,18.2,18.2,2,1,1,7,1
7115,2,5/16/23 9:30:00.0,1,23.1,23.1,23.1,1,2,1,8,1
7115,2,5/16/23 9:45:00.0,2,78.1,35.5,42.6,3,1,2,7,2
7115,2,5/16/23 10:00:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 10:15:00.0,1,16.8,16.8,16.8,1,1,1,7,1
7115,2,5/16/23 10:30:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 10:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 11:00:00.0,1,43.6,43.6,43.6,1,1,1,6,1
7115,2,5/16/23 11:15:00.0,2,35.4,16.7,18.7,3,2,2,7,2
7115,2,5/16/23 11:30:00.0,1,15.8,15.8,15.8,1,1,1,7,0
7115,2,5/16/23 11:45:00.0,2,87.5,30.3,57.2,2,2,2,7,2
7115,2,5/16/23 12:00:00.0,0,0,0,0,0,1,0,6,0
7115,2,5/16/23 12:15:00.0,5,144.5,9.1,62.3,8,4,6,7,5
7115,2,5/16/23 12:30:00.0,3,8.5,8.5,8.5,26,3,6,6,23
7115,2,5/16/23 12:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 13:00:00.0,1,77.3,77.3,77.3,1,1,1,6,1
7115,2,5/16/23 13:15:00.0,0,0,0,0,2,1,1,6,1
7115,2,5/16/23 13:30:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 13:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 14:00:00.0,1,29.4,29.4,29.4,1,1,1,7,1
7115,2,5/16/23 14:15:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 14:30:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 14:45:00.0,2,53,53,53,4,2,3,6,2
7115,2,5/16/23 15:00:00.0,3,58.9,58.9,58.9,3,3,3,6,3
7115,2,5/16/23 15:15:00.0,1,37.1,37.1,37.1,3,1,2,6,1
7115,2,5/16/23 15:30:00.0,2,100.5,31.8,68.7,6,2,2,6,2
7115,2,5/16/23 15:45:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 16:00:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 16:15:00.0,2,8,8,8,18,2,1,6,2
7115,2,5/16/23 16:30:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 16:45:00.0,1,4.8,4.8,4.8,1,1,1,6,1
7115,2,5/16/23 17:00:00.0,2,105.2,51.2,54,4,2,2,6,2
7115,2,5/16/23 17:15:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 17:30:00.0,1,57.2,57.2,57.2,6,1,1,6,1
7115,2,5/16/23 17:45:00.0,1,50.4,50.4,50.4,1,2,1,6,1
7115,2,5/16/23 18:00:00.0,1,12.7,12.7,12.7,13,0,1,6,1
7115,2,5/16/23 18:15:00.0,2,99.6,99.6,99.6,3,1,3,6,2
7115,2,5/16/23 18:30:00.0,0,0,0,0,0,0,0,6,0
7115,2,5/16/23 18:45:00.0,1,30.5,30.5,30.5,3,1,1,6,1
7115,2,5/16/23 19:00:00.0,1,0,0,0,1,1,1,8,1
7115,2,5/16/23 19:15:00.0,2,80,7.8,72.2,3,2,2,7,2
7115,2,5/16/23 19:30:00.0,1,3.9,3.9,3.9,1,1,1,8,1
7115,2,5/16/23 19:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 20:00:00.0,1,42.5,42.5,42.5,2,1,2,8,1
7115,2,5/16/23 20:15:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 20:30:00.0,1,1.5,1.5,1.5,1,1,1,8,1
7115,2,5/16/23 20:45:00.0,0,0,0,0,0,0,0,7,0
7115,2,5/16/23 21:00:00.0,2,109.4,28.3,81.1,2,2,2,2,2
7115,2,5/16/23 21:15:00.0,1,3.4,3.4,3.4,2,1,1,1,1
7115,2,5/16/23 21:30:00.0,2,76.1,28.8,47.3,2,2,2,2,2
7115,2,5/16/23 21:45:00.0,1,31.2,31.2,31.2,1,1,1,1,1
7115,2,5/16/23 22:15:00.0,3,35,14.8,20.2,3,3,3,3,3
7115,2,5/16/23 22:30:00.0,1,10.8,10.8,10.8,2,1,1,1,1
7115,2,5/16/23 22:45:00.0,1,0,0,0,2,1,1,1,2
7115,2,5/15/23 23:00:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/16/23 23:15:00.0,1,26,26,26,1,1,1,1,1
7115,2,5/15/23 23:30:00.0,0,0,0,0,0,0,0,0,0
7115,2,5/15/23 23:45:00.0,0,0,0,0,0,0,0,0,0
